Placa;CNPJ;ANTT;Proprietario;Inscricao Estadual;UF Registro;Empresa Proprietario
PZK6625;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
PWZ8271;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
NRZ1657;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
FFW9954;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
FLR5889;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
IVO5113;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
ITB2019;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
HRV0378;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
IOW6816;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
IOW6803;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
API8949;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
API8951;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
MKZ6992;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
QUT6161;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
HRV0377;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
QUY9785;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
MLM6904;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
MML2573;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
PUJ1216;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RFB7G29;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
BAC8J40;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RMF3E85;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RMF3E90;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
QIC5497;18939057000116;49284900;MARCOS ROGERIO DE SOUSA TRANSPORTES ME;22292180014;MG;NÆo
RMW0J37;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA;23036130020;MG;Sim
RNM5J11;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RNM5J06;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RFG7H25;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RFG7H55;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RFG7G05;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
RFG7G04;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
IRA3E82;19660324000184;47424276;GDA TRANSPORTES RODOVIARIOS LTDA EPP;23036130020;MG;Sim
